canonical_source_file,descriptive_name,local_version,actual_dev_ledger_version,target_project_ref,owning_task,accepted_report_sha256,acceptance_status,classification
supabase/migrations/20260922213315_identity_foundation.sql,identity_foundation,20260922213315,20260922213315,dnfhkmmnlbiabqypclqg,TASK-01B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922221737_shared_site_journey.sql,shared_site_journey,20260922221737,20260922221737,dnfhkmmnlbiabqypclqg,TASK-01C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922221814_fix_shared_assignment_audit.sql,fix_shared_assignment_audit,20260922221814,20260922221814,dnfhkmmnlbiabqypclqg,TASK-01C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922222600_narrow_site_preflight_and_index.sql,narrow_site_preflight_and_index,20260922222600,20260922222600,dnfhkmmnlbiabqypclqg,TASK-01C,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922231135_private_documents_02a.sql,private_documents_02a,20260922231135,20260922231135,dnfhkmmnlbiabqypclqg,TASK-02A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922232116_guard_document_upload_02a.sql,guard_document_upload_02a,20260922232116,20260922232116,dnfhkmmnlbiabqypclqg,TASK-02A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922232349_fix_document_proof_separator_02a.sql,fix_document_proof_separator_02a,20260922232349,20260922232349,dnfhkmmnlbiabqypclqg,TASK-02A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922232829_fix_document_cleanup_visibility_02a.sql,fix_document_cleanup_visibility_02a,20260922232829,20260922232829,dnfhkmmnlbiabqypclqg,TASK-02A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922233224_restrict_document_cleanup_select_02a.sql,restrict_document_cleanup_select_02a,20260922233224,20260922233224,dnfhkmmnlbiabqypclqg,TASK-02A,,accepted_synthetic_dev_per_task_report,exact_version_name_match
supabase/migrations/20260922235110_document_review_replacement_02b.sql,document_review_replacement_02b,20260922235110,20260922235110,dnfhkmmnlbiabqypclqg,TASK-02B,,accepted_synthetic_dev_per_task_report,exact_version_name_match
